base,pos,gw,freq
mind your own business,lexical_chunk,none,C2
businessman,noun,none,A2
businesswoman,noun,none,A2
bus station,noun,none,A2
bus stop,noun,none,A2
busy,adjective,PERSON,A1
busy,adjective,PLACE,A1
busy,adjective,TIME,A2
but,conjunction,none,A1
but,conjunction,EXPLAINING WHY,B1
but,preposition,none,B1
butcher,noun,none,B1
butt,noun,none,C1
butt in,lexical_chunk,none,C2
butter,noun,none,A1
butterfly,noun,none,B1
button,noun,ON MACHINE,B1
button,noun,ON CLOTHING,B1
buy,verb,none,A1
buyer,noun,none,B1
buzz,noun,EXCITEMENT,C2
buzz,noun,SOUND,C2
buzz,verb,SOUND,C2
buzz,verb,ENERGY,C2
by,preposition,DO,A2
by,preposition,HOW,A2
by,preposition,NOT LATER THAN,A2
by the way,lexical_chunk,none,A2
by,preposition,NEAR,B1
"by accident/mistake, etc.",lexical_chunk,none,B1
by hand,lexical_chunk,none,B1
by,preposition,HOLDING,B2
by far,lexical_chunk,none,B2
by heart,lexical_chunk,none,B2
"day by day/little by little/one by one, etc.",lexical_chunk,none,B2
by,preposition,AMOUNT,B2
by and large,lexical_chunk,none,C1
by law,lexical_chunk,none,C1
by no means; not by any means,lexical_chunk,none,C1
by way of sth,lexical_chunk,none,C1
by all means,lexical_chunk,none,C2
by word of mouth,lexical_chunk,none,C2
by the same token,lexical_chunk,none,C2
by virtue of sth,lexical_chunk,none,C2
bye,exclamation,none,A1
cab,noun,none,B1
cabbage,noun,none,B1
cabin,noun,AIRCRAFT,B1
cabin,noun,HOUSE,B1
cabin,noun,SHIP,C2
cabinet,noun,none,A2
cable,noun,TELEVISION/TELEPHONE,B1
cable,noun,WIRE,B2
café,noun,none,A1
cafeteria,noun,none,A2
cage,noun,none,B1
cake,noun,FOOD,A1
be a piece of cake,lexical_chunk,none,B2
calculate,verb,MATH,B2
be calculated to do sth,lexical_chunk,none,C2
calculation,noun,none,B2
calculator,noun,none,B1
calendar,noun,DAYS,A2
calendar,noun,APPOINTMENTS,B2
calf,noun,ANIMAL,B1
calf,noun,LEG,C2
be called sth,lexical_chunk,none,A1
call,verb,TELEPHONE,A2
call,verb,NAME,B1
call,verb,SHOUT,B1
call,verb,DESCRIBE,B2
call,verb,ASK TO COME,B2
call in sick,lexical_chunk,none,B2
call a meeting,lexical_chunk,none,C1
call it a day,lexical_chunk,none,C2
call sb names,lexical_chunk,none,C2
call back (sb) or call (sb) back,lexical_chunk,none,A2
call for sb ,lexical_chunk,none,B1
call for sth,lexical_chunk,none,C2
call off sth or call sth off,lexical_chunk,NOT HAPPEN,B2
call off sth or call sth off,lexical_chunk,STOP,C1
call on sb to do sth,lexical_chunk,none,C1
call up (sb) or call (sb) up,lexical_chunk,none,B1
call up sth or call sth up,lexical_chunk,none,C2
be called up,lexical_chunk,none,C2
call,noun,TELEPHONE,A2
call,noun,SHOUT,B1
sb's call,lexical_chunk,none,B1
a call for sth,lexical_chunk,none,C1
call,noun,VISIT,C1
calm,adjective,PERSON,B1
calm,adjective,SEA/WEATHER,B1
calm down (sb) or calm (sb) down ,lexical_chunk,none,B2
calmly,adverb,none,B2
camel,noun,none,B1
camera,noun,none,A1
camp,noun,TENTS/BUILDINGS,B1
camp,noun,vacation place,B1
"an army/prison/refugee, etc. camp",lexical_chunk,none,B2
camp,verb,none,A2
campaign,noun,ACTIVITIES,C1
campaign,noun,WAR,C1
campaign,verb,none,C1
camping,noun,none,A2
campsite,noun,none,B1
campus,noun,none,B2
can,noun,none,A2
can,modal verb,ABILITY,A1
can,modal verb,REQUEST,A1
can,modal verb,OFFER,A1
can,modal verb,POSSIBILITY,A1
can,modal verb,PERMISSION,A2
can,modal verb,SURPRISE,B1
can,modal verb,TYPICAL,B2
can,modal verb,SOMETIMES HAPPENING,B2
canal,noun,none,B1
cancel,verb,none,B1
cancellation,noun,none,C1
cancer,noun,none,B1
candidate,noun,JOB/ELECTION,B2
candle,noun,none,B1
candy,noun,none,A2
canned,adjective,none,B2
cannot,modal verb,none,A1
cap,noun,none,A2
cap,verb,none,C1
capability,noun,none,C1
capable,adjective,GOOD AT DOING THINGS,B2
capable of sth/doing sth ,lexical_chunk,none,B2
capacity,noun,AMOUNT,B2
capacity,noun,ABILITY,B2
capacity,noun,JOB,C1
capital,noun,none,A2
capitalism,noun,none,C2
capitalist,adjective,none,C2
capital letter,noun,none,A2
captain,noun,SPORTS,B1
captain,noun,SHIP/AIRCRAFT,B2
capture,verb,CATCH,B2
capture,verb,DESCRIBE,B2
"capture sb/sth on camera/film, etc.",lexical_chunk,none,B2
capture sb's attention/ imagination/ interest,lexical_chunk,none,C1
capture,noun,none,C1
car,noun,ROAD,A1
car,noun,TRAIN,C1
carbon,noun,none,B2
carbon dioxide,noun,none,B2
carbon footprint,noun,none,B2
carbon monoxide,noun,none,B2
card,noun,GREETINGS,A2
card,noun,GAME,A2
card,noun,INFORMATION,B1
card,noun,COMPUTER,B1
be in the cards,lexical_chunk,none,C2
cardboard,noun,none,B2
cardigan,noun,none,B2
Take care!,lexical_chunk,none,A2
take care of sb/sth ,lexical_chunk,none,B1
care,noun,ATTENTION,B1
care,noun,PROTECTION,B2
take care of sth/doing sth,lexical_chunk,none,C1
care,noun,WORRY,C2
care,verb,WORRY,B1
care,verb,LOVE,B1
Who cares?,lexical_chunk,none,B2
"I/he/she, etc. couldn't care less",lexical_chunk,none,C1
care for sb/sth ,lexical_chunk,none,B2
career,noun,JOB,B1
career,noun,TIME,C2
carefree,adjective,none,C2
careful,adjective,none,A2
carefully,adverb,none,A2
careless,adjective,none,B1
carelessly,adverb,none,B2
carelessness,noun,none,B2
cargo,noun,none,C2
caring,adjective,none,B2
carnival,noun,CELEBRATION,B2
carnival,noun,ENTERTAINMENT,B2
carpet,noun,none,A2
carriage,noun,none,C2
carrot,noun,VEGETABLE,A2
carrot,noun,REWARD,C2
carry,verb,HOLD,A1
carry,verb,HAVE WITH YOU,B1
carry,verb,TRANSPORT,B2
carry,verb,DISEASE,C1
carry,verb,HAVE,C2
carry,verb,SUPPORT,C2
carry weight,lexical_chunk,none,C2
be/get carried away,lexical_chunk,none,B2
carry on (sth) or carry (sth) on,lexical_chunk,none,B1
carry out sth or carry sth out ,lexical_chunk,none,B1
cart,noun,none,B2
cartoon,noun,FILM,A2
cartoon,noun,DRAWING,A2
carve,verb,none,C2
case,noun,CONTAINER,A2
case,noun,SITUATION,B1
in case of sth,lexical_chunk,none,B1
(just) in case,lexical_chunk,none,B1
be the case,lexical_chunk,none,B2
in any case,lexical_chunk,none,B2
in that case,lexical_chunk,none,B2
case,noun,CRIME,B2
case,noun,COURT OF LAW,B2
case,noun,ILLNESS,C2
case,noun,ARGUMENT,C2
cash,noun,NOTES/COINS,A2
cash,noun,MONEY,B1
cash machine,noun,none,B1
casserole,noun,FOOD,C2
casserole,noun,CONTAINER,C2
cast,noun,none,B2
cast,verb,ACTORS,B2
cast a/your vote,lexical_chunk,none,C2
cast your mind back,lexical_chunk,none,C2
cast a spell on sb,lexical_chunk,none,C2
cast a spell (on sb/sth),lexical_chunk,none,C2
cast doubt on sb/sth,lexical_chunk,none,C2
cast,verb,LIGHT,C2
castle,noun,none,A2
casual,adjective,CLOTHES,B1
casual,adjective,NOT PLANNED,B2
casually,adverb,none,B2
casualty,noun,none,C2
cat,noun,none,A1
catalog,noun,none,B2
catastrophe,noun,none,C2
catch,verb,TAKE HOLD,A1
catch,verb,TRAVEL,A1
catch,verb,ILLNESS,A2
catch,verb,STOP ESCAPING,B1
catch fire,lexical_chunk,none,B1
"catch sb's attention, interest, etc.",lexical_chunk,none,B2
catch,verb,DISCOVER,B2
catch,verb,CRIMINAL,B2
be/get caught,lexical_chunk,none,C2
catch,verb,STICK,C2
catch sight of sth,lexical_chunk,none,C2
catch sb's eye,lexical_chunk,none,C2
catch sb off guard,lexical_chunk,none,C2
catch on,lexical_chunk,BECOME POPULAR,C1
catch on,lexical_chunk,UNDERSTAND,C2
catch up (sb) or catch (sb) up,lexical_chunk,REACH SOMEONE,B2
catch up (sb) or catch (sb) up,lexical_chunk,BE AS GOOD AS,C1
catch up,lexical_chunk,none,B2
be/get caught up in sth,lexical_chunk,none,C2
catch up with sb ,lexical_chunk,MEET,B1
catch up with sb ,lexical_chunk,BAD THING,C2
catch up on/with sth,lexical_chunk,none,B2
category,noun,none,B2
cater,verb,none,C1
cater to sb/sth,lexical_chunk,none,C1
catering,noun,none,B2
cathedral,noun,none,A2
cattle, noun,none,B1
cause,noun,REASON WHY,B2
cause,noun,PRINCIPLE,C1
cause,noun,REASON FOR,C2
cause,verb,none,B2
caution,noun,CARE,C1
throw caution to the wind,lexical_chunk,none,C2
caution,verb,none,C2
cautious,adjective,none,B2
cave,noun,none,B1
CD,noun,none,A1
CD player,noun,none,A1
CD-ROM,noun,none,B1
cease,verb,none,B2
ceiling,noun,ROOM,A2
ceiling,noun,AMOUNT,C2
celebrate,verb,none,B1
celebration,noun,none,B1
celebrity,noun,none,B1
cell,noun,ORGANISM,B2
cell,noun,ROOM,B2
cellar,noun,none,B2
cello,noun,none,B2
cell phone,noun,none,A1
cemetery,noun,none,B2
cent,noun,none,A2
center,noun,MIDDLE,A2
center,noun,PLACE,A2
center,noun,POLITICAL,C2
centigrade,noun,none,B2
centimeter,noun,none,A2
central,adjective,NEAR CENTER,B1
central,adjective,CITY,C1
central,adjective,ORGANIZATION,C1
central,adjective,IMPORTANT,C2
central heating,noun,none,B1
century,noun,none,A2
the turn of the century,lexical_chunk,none,C2
cereal,noun,BREAKFAST FOOD,A2
cereal,noun,PLANT,C1
ceremony,noun,none,B1
certain,adjective,NO DOUBT,B1
certain,adjective,SURE TO HAPPEN,B1
certain,adjective,PARTICULAR,B1
a certain,lexical_chunk,none,B2
know/say for certain,lexical_chunk,none,C1
certainly,adverb,NO DOUBT,A2
certainly,adverb,AGREE,A2
certainly not,lexical_chunk,none,C1
certainty,noun,BEING SURE,B2
certainty,noun,SURE THING,C2
certificate,noun,none,B1
chain,noun,METAL RINGS,A2
chain,noun,BUSINESS,B1
chain,noun,EVENTS,B2
